Unnamed: 0,GP,GROUP_VALUE,PTS,REB,AST,STL,BLK,TOV,PLAYER_NAME,Tm,PLAYER_ID,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
473,34,Road,9.7,4.1,2.8,1.8,0.5,1.1,Herbert Jones,,1630529.0,0.6,0.056,0.089,0.139,0.594,0.124
474,81,ALL,14.9,4.2,3.4,1.0,0.2,1.2,Immanuel Quickley,NYK,1630193.0,6.2,0.024,0.11,0.203,0.578,0.178
475,41,Home,15.0,4.3,3.2,0.8,0.2,1.3,Immanuel Quickley,,1630193.0,7.2,0.024,0.123,0.202,0.608,0.171
476,40,Road,14.8,4.0,3.7,1.2,0.2,1.2,Immanuel Quickley,,1630193.0,5.3,0.023,0.099,0.204,0.55,0.185
479,76,ALL,6.4,2.5,1.1,0.7,0.4,0.6,Isaac Okoro,CLE,1630171.0,5.4,0.033,0.085,0.117,0.614,0.07
478,38,Home,6.2,2.4,1.2,0.7,0.5,0.6,Isaac Okoro,,1630171.0,9.9,0.028,0.088,0.118,0.61,0.075
477,38,Road,6.7,2.6,1.1,0.7,0.3,0.6,Isaac Okoro,,1630171.0,1.3,0.038,0.082,0.115,0.617,0.064
481,82,ALL,5.0,6.5,1.2,0.6,0.8,0.8,Isaiah Hartenstein,NYK,1628392.0,4.4,0.122,0.192,0.107,0.567,0.083
482,41,Home,5.3,6.8,1.3,0.7,0.6,0.8,Isaiah Hartenstein,,1628392.0,6.7,0.123,0.198,0.107,0.578,0.082
480,41,Road,4.6,6.2,1.2,0.6,1.0,0.8,Isaiah Hartenstein,,1628392.0,1.9,0.121,0.187,0.106,0.554,0.083
485,63,ALL,7.2,4.5,0.8,0.5,1.5,0.8,Isaiah Jackson,IND,1630543.0,-5.6,0.1,0.159,0.165,0.595,0.071
484,29,Home,7.2,4.8,0.6,0.3,1.7,1.0,Isaiah Jackson,,1630543.0,-8.9,0.108,0.17,0.167,0.612,0.055
483,34,Road,7.2,4.2,1.0,0.6,1.3,0.6,Isaiah Jackson,,1630543.0,-2.8,0.093,0.149,0.163,0.582,0.084
488,73,ALL,9.5,2.4,1.2,0.7,0.1,0.5,Isaiah Joe,OKC,1630198.0,5.1,0.018,0.108,0.17,0.626,0.087
486,39,Home,9.7,1.9,1.2,0.5,0.1,0.5,Isaiah Joe,,1630198.0,8.5,0.016,0.09,0.172,0.643,0.083
487,34,Road,9.2,2.9,1.3,0.8,0.1,0.6,Isaiah Joe,,1630198.0,1.3,0.021,0.127,0.168,0.606,0.092
489,52,ALL,6.7,2.8,0.8,0.5,0.5,0.6,Isaiah Livers,DET,1630587.0,-7.8,0.023,0.096,0.117,0.567,0.048
491,28,Home,7.6,3.1,0.9,0.6,0.5,0.5,Isaiah Livers,,1630587.0,-3.1,0.026,0.1,0.121,0.583,0.05
490,24,Road,5.6,2.3,0.7,0.5,0.5,0.6,Isaiah Livers,,1630587.0,-13.8,0.019,0.092,0.112,0.543,0.046
493,13,ALL,2.4,1.5,0.2,0.3,0.2,0.1,Isaiah Mobley,CLE,1630600.0,19.8,0.053,0.174,0.166,0.521,0.054
494,4,Home,0.5,1.8,0.5,0.0,0.0,0.0,Isaiah Mobley,,1630600.0,-1.6,0.029,0.194,0.116,0.127,0.1
492,8,Road,3.6,1.6,0.1,0.5,0.4,0.1,Isaiah Mobley,,1630600.0,32.3,0.071,0.164,0.195,0.663,0.028
495,42,ALL,4.1,2.5,0.9,0.4,0.2,0.7,Isaiah Roby,SAS,1629676.0,-10.4,0.04,0.188,0.173,0.497,0.114
497,50,ALL,11.3,8.1,1.4,0.4,0.7,1.4,Isaiah Stewart,DET,1630191.0,-8.0,0.078,0.202,0.17,0.56,0.073
496,26,Home,11.3,8.2,1.4,0.5,0.7,1.0,Isaiah Stewart,,1630191.0,-5.9,0.076,0.214,0.169,0.55,0.074
498,24,Road,11.3,7.9,1.4,0.3,0.7,1.7,Isaiah Stewart,,1630191.0,-10.2,0.08,0.189,0.17,0.571,0.072
499,6,ALL,1.5,2.0,0.7,0.2,0.0,0.3,Isaiah Todd,WAS,1630225.0,-6.7,0.027,0.152,0.143,0.226,0.087
500,43,ALL,2.5,1.3,2.3,0.2,0.2,1.0,Ish Smith,DEN,202397.0,-5.3,0.014,0.116,0.187,0.407,0.352
502,22,Home,1.8,1.0,2.1,0.2,0.2,0.8,Ish Smith,,202397.0,7.3,0.013,0.113,0.159,0.426,0.359
501,21,Road,3.2,1.5,2.6,0.1,0.1,1.3,Ish Smith,,202397.0,-14.4,0.014,0.119,0.208,0.396,0.346
503,60,ALL,4.2,2.3,0.9,0.6,0.4,0.4,Ish Wainright,PHO,1630688.0,6.1,0.045,0.097,0.117,0.522,0.075
505,31,Home,3.4,2.5,0.8,0.5,0.4,0.4,Ish Wainright,,1630688.0,7.4,0.05,0.103,0.111,0.461,0.068
504,29,Road,5.0,2.2,1.0,0.8,0.3,0.4,Ish Wainright,,1630688.0,4.7,0.04,0.09,0.123,0.576,0.081
508,76,ALL,10.8,9.9,1.0,0.4,1.3,1.5,Ivica Zubac,LAC,1627826.0,-0.6,0.114,0.238,0.149,0.661,0.05
507,38,Home,10.7,9.8,1.1,0.4,1.2,1.7,Ivica Zubac,,1627826.0,-0.5,0.109,0.246,0.153,0.675,0.056
506,38,Road,10.8,10.1,0.9,0.4,1.3,1.4,Ivica Zubac,,1627826.0,-0.7,0.118,0.23,0.145,0.648,0.044
511,12,ALL,1.6,0.8,0.9,0.2,0.2,0.3,JD Davison,BOS,1631120.0,-5.8,0.033,0.093,0.157,0.478,0.234
510,8,Home,2.4,1.0,1.4,0.2,0.2,0.4,JD Davison,,1631120.0,-0.9,0.038,0.09,0.146,0.563,0.256
